"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Yang_2000",52,"Marine","Ectotherm","Gut content (lethal)","Gray",54.68,NA,NA,"100km","Fish","Years",1144,1990
"Yang_2000",34,"Marine","Ectotherm","Gut content (lethal)","Gray",54.68,NA,NA,"100km","Fish","Years",692,1993
"Yang_2000",11,"Marine","Ectotherm","Gut content (lethal)","Gray",54.68,NA,NA,"100km","Fish","Years",42,1996
"Yamaguchi_2011",37,"Marine","Ectotherm","Gut content (lethal)","Kira",33.01,NA,NA,"10km","Fish","Years",334,2007
"DeWitt_1972",4,"Marine","Ectotherm","Gut content (lethal)","Kurt",33.8,NA,NA,"10km","Fish","Years",51,1965
"DeWitt_1972",4,"Marine","Ectotherm","Gut content (lethal)","Kurt",33.8,NA,NA,"10km","Fish","Years",5,1965
"DeWitt_1972",4,"Marine","Ectotherm","Gut content (lethal)","Kurt",33.8,NA,NA,"10km","Fish","Years",27,1965
"DeWitt_1972",4,"Marine","Ectotherm","Gut content (lethal)","Kurt",33.8,NA,NA,"10km","Fish","Years",49,1965
"DeWitt_1972",4,"Marine","Ectotherm","Gut content (lethal)","Kurt",33.8,NA,NA,"10km","Fish","Years",60,1965
"DeWitt_1972",4,"Marine","Ectotherm","Gut content (lethal)","Kurt",33.8,NA,NA,"10km","Fish","Years",85,1965
"Plyuscheva_2010",6,"Marine","Ectotherm","Gut content (lethal)","Kyle",67,NA,NA,"10m","Annelids","Hours",40,2008
"Agudelo-Cantero_2015",18,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",4.01,NA,NA,"1000m","Amphibians","Months",70,2012
"Agudelo-Cantero_2015",18,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",4.01,NA,NA,"1000m","Amphibians","Months",80,2012
"Felix_2006",19,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",37.5,NA,NA,"1000m","Amphibians","Months",44,2000
"Ferreira_2012",18,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",-19.65,NA,NA,"1000m","Amphibians","Months",260,1998
"Garda_2007",13,"Lentic","Ectotherm","Gut content (lethal)","Leah",-3,NA,NA,"100km","Amphibians","Years",172,2000
"Lauría-Manzano_2014",14,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",18.3,NA,NA,"1000m","Amphibians","Months",38,2006
"Lemos_2015",9,"Terrestrial","Ectotherm","Gut content (non-lethal)","Leah",19.21,NA,NA,"100m","Amphibians","Months",60,2014
"Maciel_2012",3,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",-3.21,NA,NA,"1000m","Amphibians","Years",59,2005
"Maia-Carneiro_2012",13,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",-22.44,NA,NA,"10km","Amphibians","Years",11,2007
"Milanovich_2008",18,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",35.71,NA,NA,"100km","Amphibians","Years",40,1995
"Milanovich_2008",18,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",34.5,NA,NA,"100km","Amphibians","Years",40,1995
"Ngo_2014b",28,"Terrestrial","Ectotherm","Gut content (non-lethal)","Leah",16.72,NA,NA,"10km","Amphibians","Years",539,2009
"Smith_2011",6,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",26.21,NA,NA,"1000m","Amphibians","Years",32,2003
"Smith_2011",6,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",28.5,NA,NA,"1000m","Amphibians","Years",20,2003
"Valderrama-Vernaza_2009",14,"Terrestrial","Ectotherm","Gut content (lethal)","Leah",6.1,NA,NA,"1000m","Amphibians","Months",166,2005
