"Cite","ConIDorig","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","DR","DRlog","Drf","Drc","TA","TAlog","SA","SAlog","Yr","tWS","DT","FD"
"Arrington_2002","Fundulus_xenica","Adinia_xenica",839523,60,57,0.95,"Fish","Ectotherm",NA,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)"
"Arrington_2002","Adontosternarchus_devenanzii","Adontosternarchus_devenanzii",3621581,58,58,1,"Fish","Ectotherm",NA,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)"
"Gorbatenko_2009","Aeginura_grimoldii","Aeginura_grimaldii",369807,19,17,0.9,"Cnidarians","Ectotherm",198.3,"Marine",56,NA,12,1.07918124604762,"Species","Phylum","Months",2.86332286012046,"100km",5,2005,192,2005-07-01 00:00:00,"Gut content"
"Huseynov_2005","Aelurillus_muganicus","Aelurillus_concolor",3547998,1531,60,0.0392,"Arthropods","Ectotherm",NA,"Terrestrial",40.3,NA,26,1.41497334797082,"Species","Order","Years",3.94250410616808,"10km",4,1999,11,1999-01-01 00:00:00,"Direct observation"
"Arrington_2002","Aequidens_diadema","Aequidens_diadema",797223,103,45,0.4369,"Fish","Ectotherm",NA,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)"
"Luiselli_2006","Afronatrix_anoscopus","Afronatrix_anoscopus",1074252,691,322,0.466,"Reptiles","Ectotherm",109.7,"Lotic",4.83,NA,11,1.04139268515823,"Species","Genus","Years",3.94250410616808,"1000m",3,2000,NA,2000-01-01 00:00:00,"Gut content"
"Huey_2001","Agama_hispida","Agama_hispida",620401,378,375,0.9921,"Reptiles","Ectotherm",82.9,"Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)"
"Arrington_2002","Ageneiosus_brevifilis","Ageneiosus_inermis",1077781,17,13,0.7647,"Fish","Ectotherm",3100,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)"
"Savage_1967","Agkistrodon_contortrix","Agkistrodon_contortrix",27080,95,42,0.4421,"Reptiles","Ectotherm",1248.2,"Terrestrial",35.61,NA,13,1.11394335230684,"Species","Phylum","Years",3.94250410616808,"1000m",3,1963,206,1963-07-15 00:00:00,"Gut content"
"Pages_1997","Aglantha_digitale","Aglantha_digitale",459324,742,377,0.5081,"Cnidarians","Ectotherm",NA,"Marine",60.2,NA,7,0.845098040014257,"Species","Class","Days",1.38021124171161,"1000m",3,1992,132,1992-05-01 00:00:00,"Gut content"
