Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,AF,,Artiodactyla,Bovidae,Madoqua,kirkii,Madoqua damarensis  ,Kirk's Dik-dik,3.724,5300.05,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,AF,Somalia,Artiodactyla,Bovidae,Madoqua,piacentinii,,Silver Dik-dik,3.398,2500,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,AF,,Artiodactyla,Bovidae,Madoqua,saltiana,Antilope saltiana,Salt's Dik-dik,3.512,3249.975,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,AF,,Artiodactyla,Bovidae,Megalotragus,priscus,,,5.301,2.00E+05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,AF,,Artiodactyla,Bovidae,Nanger,dama,Gazella dama  ,"Dama Gazelle, Mhorr Gazelle, Addra Gazelle",4.863,72999.519,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,AF,,Artiodactyla,Bovidae,Nanger,soemmerringii,Gazella soemmerringii  ,"Gazelle de Soemmerring, *Soemmerring's Gazelle",4.602,40000.001,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,AF,,Artiodactyla,Bovidae,Neotragus,batesi,,"Bates' Pygmy Antelope, Dwarf Antelope",3.477,2999.991,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,AF,,Artiodactyla,Bovidae,Neotragus,moschatus, ,suni,3.813,6499.95,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,AF,,Artiodactyla,Bovidae,Neotragus,pygmaeus,,Royal Antelope,3.602,4000,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,AF,,Artiodactyla,Bovidae,Oreotragus,oreotragus,Antilope oreotragus,Klipspringer,4.114,12999.9,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,AF,,Artiodactyla,Bovidae,Oryx,dammah,,Scimitar-horned Oryx,5.301,200000.002,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,AF,,Artiodactyla,Bovidae,Oryx,gazella,Oryx gazella subspecies gazella,Gemsbok,5.228,169001.282,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,AF,,Artiodactyla,Bovidae,Ourebia,ourebi,Antilope ourebi,Oribi,4.237,17250.036,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,AF,,Artiodactyla,Bovidae,Pelea,capreolus,,"Grey Rhebok, Rhebok, Common Rhebok, Vaal Rhebok",4.301,20000,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,AF,,Artiodactyla,Bovidae,Pelorovis,antiquus,,large buffalo,6,1.00E+06,2_ 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
